Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Players,Season,ALL_STAR
Mike Conley,PG,32,UTA,41,35,28.6,4.8,11.9,.405,2.0,5.2,.376,2.9,6.7,.429,.488,2.3,2.9,.795,0.7,2.6,3.2,4.3,0.8,0.1,1.9,2.2,13.8,1171,13.7,.527,.438,.241,2.7,9.5,6.2,22.8,1.3,0.3,12.4,23.0,,1.0,1.0,2.1,.085,,0.4,-0.4,0.0,0.6,,,NO
Pat Connaughton,SG,27,MIL,61,1,18.3,2.0,4.3,.456,0.7,2.2,.321,1.2,2.0,.605,.540,0.4,0.6,.750,0.9,3.3,4.2,1.6,0.3,0.5,0.8,1.0,5.1,1119,11.2,.558,.525,.138,5.3,16.9,11.4,10.6,0.8,2.3,14.5,11.9,,0.9,2.1,3.0,.130,,-1.1,1.6,0.5,0.7,,,NO
Quinn Cook,PG,26,LAL,38,0,10.8,2.0,4.6,.439,0.7,1.7,.379,1.3,2.8,.477,.512,0.2,0.2,.667,0.2,0.9,1.1,1.1,0.3,0.0,0.7,0.6,4.8,409,10.5,.517,.382,.052,1.9,8.6,5.3,13.9,1.3,0.2,12.4,20.8,,-0.1,0.4,0.4,.043,,-2.3,-1.0,-3.3,-0.1,,,NO
Tyler Cook,PF,22,CLE,11,0,3.2,0.6,0.9,.700,0.0,0.0,,0.6,0.9,.700,.700,0.5,0.5,.833,0.4,0.5,0.9,0.1,0.1,0.0,0.1,0.4,1.7,35,23.8,.752,.000,.600,12.6,19.2,15.9,4.5,1.4,0.0,7.3,16.7,,0.2,0.0,0.2,.244,,3.0,-0.6,2.4,0.0,,,NO
Robert Covington,PF,29,TOT,62,60,30.1,4.5,10.5,.432,2.4,6.8,.349,2.1,3.6,.589,.546,1.4,1.7,.796,0.9,5.5,6.4,1.2,1.5,1.3,1.5,3.2,12.8,1867,13.6,.571,.654,.167,3.0,19.9,11.2,5.8,2.4,3.6,11.8,17.4,,0.9,2.4,3.3,.085,,-1.0,1.1,0.1,1.0,,,NO
Robert Covington,PF,29,MIN,48,47,29.4,4.5,10.3,.435,2.3,6.5,.346,2.3,3.8,.587,.544,1.6,2.0,.798,0.8,5.2,6.0,1.2,1.7,0.9,1.5,3.1,12.8,1411,13.5,.572,.629,.190,2.6,19.5,10.7,5.9,2.6,2.6,12.0,17.8,,0.5,1.7,2.3,.078,,-1.2,1.2,0.0,0.7,,,NO
Robert Covington,PF,29,HOU,14,13,32.6,4.6,10.9,.421,2.9,8.0,.357,1.7,2.9,.600,.553,0.8,1.0,.786,1.3,6.6,7.9,1.3,1.1,2.5,1.4,3.4,12.8,456,14.1,.566,.737,.092,4.1,21.3,12.7,5.5,1.5,6.6,11.2,16.1,,0.3,0.7,1.0,.108,,-0.3,0.8,0.5,0.3,,,NO
Allen Crabbe,SG,27,TOT,37,1,17.6,1.7,4.8,.356,1.0,3.2,.303,0.7,1.6,.466,.458,0.3,0.4,.714,0.3,1.8,2.1,0.9,0.4,0.1,0.5,1.3,4.6,653,6.0,.470,.672,.079,1.8,11.0,6.3,6.8,1.1,0.5,8.5,12.7,,-0.2,0.1,-0.1,-0.007,,-3.7,-1.5,-5.3,-0.5,,,NO
Allen Crabbe,SG,27,ATL,28,1,18.6,1.9,5.1,.364,1.1,3.3,.323,0.8,1.8,.440,.469,0.3,0.4,.750,0.4,2.0,2.3,1.0,0.5,0.1,0.4,1.3,5.1,522,7.2,.482,.650,.084,2.0,11.5,6.7,7.3,1.3,0.6,7.5,12.7,,0.0,0.1,0.1,.008,,-3.0,-1.1,-4.1,-0.3,,,NO
Allen Crabbe,SG,27,MIN,9,0,14.6,1.2,3.8,.324,0.7,2.9,.231,0.6,0.9,.625,.412,0.1,0.2,.500,0.1,1.2,1.3,0.6,0.0,0.0,0.6,1.2,3.2,131,1.1,.416,.765,.059,0.8,9.2,4.8,5.1,0.0,0.0,12.5,12.5,,-0.2,0.0,-0.2,-0.068,,-6.6,-3.2,-9.9,-0.3,,,NO
Torrey Craig,SF,29,DEN,50,19,17.4,1.9,4.2,.462,0.7,2.2,.330,1.2,2.0,.606,.548,0.4,0.6,.645,1.0,2.2,3.1,0.7,0.4,0.6,0.4,2.2,5.0,869,10.4,.559,.524,.149,6.1,13.8,10.0,5.2,1.0,3.4,9.0,12.2,,0.8,0.9,1.7,.095,,-2.4,0.1,-2.3,-0.1,,,NO
Jae Crowder,SF,29,TOT,58,46,29.2,3.4,8.8,.384,1.9,6.1,.318,1.4,2.7,.532,.494,1.6,2.1,.785,0.8,5.3,6.1,2.6,1.2,0.4,1.1,2.2,10.4,1695,12.1,.532,.692,.236,3.1,18.7,11.1,11.7,1.9,1.1,9.9,15.6,,1.2,2.0,3.2,.090,,-0.9,0.3,-0.6,0.6,,,NO
Jae Crowder,SF,29,MEM,45,45,29.4,3.3,8.9,.368,1.7,5.9,.293,1.5,3.0,.519,.466,1.7,2.1,.789,0.9,5.3,6.2,2.8,1.0,0.3,1.2,1.9,9.9,1322,11.0,.507,.667,.238,3.2,18.4,11.0,12.2,1.7,0.9,10.9,15.6,,0.5,1.4,1.9,.068,,-1.4,0.1,-1.2,0.3,,,NO
Jae Crowder,SF,29,MIA,13,1,28.7,3.8,8.8,.439,2.7,6.8,.393,1.2,1.9,.600,.592,1.5,2.0,.769,0.6,5.2,5.8,2.0,1.5,0.5,0.6,3.2,11.9,373,16.0,.618,.781,.228,2.5,19.6,11.4,10.3,2.6,1.9,6.0,15.8,,0.7,0.6,1.3,.168,,0.7,1.1,1.8,0.4,,,NO
Jarrett Culver,SG,20,MIN,63,35,23.9,3.7,9.0,.404,1.0,3.5,.299,2.6,5.5,.471,.462,0.9,1.9,.462,1.1,2.3,3.4,1.7,0.9,0.6,1.3,2.0,9.2,1506,9.6,.467,.388,.206,4.7,10.3,7.4,10.8,1.8,2.1,11.5,19.2,,-1.2,1.1,-0.1,-0.004,,-3.2,-0.8,-4.0,-0.8,,,NO
Seth Curry,SG,29,DAL,59,20,24.5,4.5,9.0,.500,2.3,5.1,.453,2.2,3.9,.560,.628,1.3,1.5,.841,0.4,1.9,2.4,2.0,0.6,0.1,1.0,1.7,12.6,1448,16.2,.650,.564,.165,1.9,8.0,5.0,12.1,1.2,0.5,9.5,18.6,,3.4,0.9,4.3,.144,,2.0,-0.7,1.4,1.2,,,NO
Stephen Curry,PG,31,GSW,5,5,27.8,6.6,16.4,.402,2.4,9.8,.245,4.2,6.6,.636,.476,5.2,5.2,1.000,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8,139,21.7,.557,.598,.317,3.0,17.8,10.1,42.3,1.7,1.3,14.6,33.6,,0.2,0.1,0.3,.104,,4.5,-0.6,3.9,0.2,,,NO
Troy Daniels,SG,28,TOT,42,0,10.9,1.5,3.8,.390,1.0,2.7,.354,0.5,1.1,.478,.516,0.2,0.4,.625,0.3,0.8,1.1,0.3,0.2,0.1,0.2,0.7,4.1,457,8.9,.524,.711,.101,2.9,7.9,5.5,4.1,0.8,0.6,5.1,16.2,,0.2,0.4,0.7,.070,,-1.2,-1.0,-2.2,0.0,,,NO
Troy Daniels,SG,28,LAL,41,0,11.1,1.5,3.9,.392,1.0,2.7,.357,0.5,1.1,.478,.519,0.2,0.4,.625,0.3,0.8,1.1,0.3,0.2,0.1,0.2,0.7,4.2,456,9.0,.527,.709,.101,2.9,7.9,5.5,4.1,0.8,0.6,5.2,16.1,,0.3,0.4,0.7,.072,,-1.1,-1.0,-2.1,0.0,,,NO
Troy Daniels,SG,28,DEN,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-40.8,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4,,0.0,0.0,0.0,-1.036,,-38.4,-22.8,-61.2,0.0,,,NO
Anthony Davis,PF,26,LAL,55,55,34.3,9.2,18.1,.511,1.2,3.5,.335,8.1,14.5,.554,.544,7.0,8.3,.845,2.3,7.1,9.4,3.1,1.5,2.4,2.5,2.5,26.7,1889,28.2,.614,.195,.460,7.3,22.1,14.9,14.6,2.1,6.2,10.1,29.7,,6.2,4.1,10.3,.262,,5.8,2.8,8.5,5.0,Anthony Davis,2020.0,YES
Ed Davis,C,30,UTA,25,0,10.7,0.6,1.4,.412,0.0,0.0,,0.6,1.4,.412,.412,0.2,0.4,.455,1.2,2.6,3.8,0.3,0.4,0.4,0.5,2.2,1.3,268,7.3,.425,.000,.324,12.4,25.8,19.4,3.8,1.8,2.8,25.1,8.5,,-0.1,0.5,0.4,.074,,-5.5,1.7,-3.9,-0.1,,,NO
Terence Davis,SG,22,TOR,64,2,17.0,2.8,6.1,.463,1.4,3.5,.396,1.5,2.6,.550,.575,0.7,0.8,.865,0.7,2.7,3.4,1.7,0.5,0.2,1.0,1.6,7.7,1087,14.5,.598,.568,.133,4.6,16.3,10.5,14.6,1.4,1.1,13.6,18.9,,1.4,1.6,3.0,.133,,0.7,0.6,1.3,0.9,,,NO
Dewayne Dedmon,C,30,TOT,44,18,17.6,2.3,5.8,.400,0.5,2.4,.206,1.8,3.4,.541,.443,0.7,0.8,.833,1.4,4.3,5.7,0.5,0.6,0.9,1.3,3.0,5.8,774,9.4,.473,.420,.141,8.5,27.7,17.9,4.1,1.5,4.8,17.4,18.2,,-1.0,1.1,0.1,.006,,-5.8,0.0,-5.8,-0.7,,,NO
Dewayne Dedmon,C,30,SAC,34,10,15.9,2.0,5.0,.404,0.4,2.1,.197,1.6,2.9,.550,.444,0.7,0.8,.821,1.4,3.6,4.9,0.4,0.4,0.8,1.4,2.7,5.1,541,8.5,.477,.415,.164,9.3,25.9,17.4,3.9,1.4,4.6,20.4,18.6,,-0.8,0.7,-0.1,-0.005,,-6.3,-0.1,-6.4,-0.6,,,NO
Dewayne Dedmon,C,30,ATL,10,8,23.3,3.3,8.4,.393,0.8,3.6,.222,2.5,4.8,.521,.440,0.7,0.8,.875,1.4,6.8,8.2,0.7,1.0,1.5,1.0,4.0,8.1,233,11.4,.463,.429,.095,6.4,31.8,18.9,4.3,2.0,5.4,10.3,17.4,,-0.2,0.3,0.2,.032,,-4.5,0.1,-4.4,-0.1,,,NO
Matthew Dellavedova,PG,29,CLE,57,4,14.4,1.1,3.1,.354,0.4,1.6,.231,0.7,1.5,.488,.414,0.6,0.6,.865,0.3,1.0,1.3,3.2,0.4,0.0,1.0,1.4,3.1,821,8.1,.463,.520,.211,2.4,7.8,5.1,29.0,1.2,0.2,23.6,13.0,,0.1,0.1,0.2,.010,,-3.6,-1.6,-5.2,-0.7,,,NO
DeMar DeRozan,SF,30,SAS,61,61,34.3,8.2,15.7,.526,0.1,0.5,.267,8.1,15.2,.535,.530,5.5,6.6,.843,0.6,5.0,5.6,5.6,1.0,0.2,2.4,2.7,22.2,2091,21.3,.597,.031,.419,2.0,15.7,8.9,26.0,1.4,0.6,11.5,26.6,,5.1,1.1,6.2,.143,,2.1,-0.5,1.6,1.9,,,NO
Cheick Diallo,C,23,PHO,44,2,10.6,2.0,3.1,.650,0.0,0.0,.500,2.0,3.1,.652,.653,0.7,0.8,.865,0.6,2.3,2.9,0.5,0.2,0.3,0.7,1.2,4.8,467,16.3,.688,.015,.270,6.5,24.1,15.1,7.2,1.0,2.3,16.4,16.7,,0.8,0.5,1.3,.129,,-1.1,-0.3,-1.4,0.1,,,NO
Hamidou Diallo,SF,21,OKC,38,3,18.4,2.6,5.8,.452,0.2,0.9,.200,2.4,4.8,.500,.468,0.7,1.2,.622,0.8,2.4,3.2,0.6,0.7,0.2,1.0,2.2,6.1,699,8.4,.488,.160,.205,4.8,14.3,9.7,4.5,2.0,1.0,13.4,17.4,,-0.6,0.8,0.2,.014,,-5.0,0.3,-4.8,-0.5,,,NO
Gorgui Dieng,C,30,TOT,58,17,17.4,2.7,5.9,.461,0.9,2.4,.359,1.8,3.5,.532,.535,1.1,1.4,.735,1.5,4.3,5.8,1.2,0.8,1.0,0.9,1.9,7.4,1012,17.4,.564,.414,.242,8.8,26.5,17.5,10.3,2.2,4.6,12.7,17.7,,1.1,1.6,2.7,.128,,0.0,1.8,1.8,0.9,,,NO
Gorgui Dieng,C,30,MIN,46,17,16.9,2.7,6.0,.448,1.0,2.6,.383,1.7,3.4,.497,.531,1.0,1.3,.797,1.6,4.0,5.6,1.3,0.8,0.9,1.0,1.9,7.4,778,17.8,.563,.433,.213,9.5,25.8,17.4,11.1,2.2,4.5,12.7,18.4,,1.0,1.1,2.1,.129,,0.3,1.5,1.8,0.7,,,NO
Gorgui Dieng,C,30,MEM,12,0,19.5,2.8,5.5,.515,0.4,1.8,.227,2.4,3.7,.659,.553,1.2,2.0,.583,1.2,5.5,6.7,1.1,0.9,1.2,0.9,1.9,7.3,234,16.2,.568,.333,.364,6.4,29.0,17.9,7.5,2.2,5.2,12.6,15.6,,0.2,0.4,0.6,.128,,-1.2,2.9,1.7,0.2,,,NO
Spencer Dinwiddie,SG,26,BRK,64,49,31.2,6.6,16.0,.415,1.9,6.3,.308,4.7,9.7,.485,.476,5.4,7.0,.778,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8,20.6,1994,17.9,.541,.392,.437,1.7,9.5,5.7,35.6,1.0,0.9,12.5,29.2,,3.4,1.7,5.1,.123,,2.6,-0.8,1.7,1.9,,,NO
Donte DiVincenzo,SG,23,MIL,59,22,23.1,3.5,7.7,.462,1.3,3.7,.344,2.3,3.9,.576,.546,1.0,1.3,.769,1.0,3.9,4.9,2.3,1.4,0.3,1.2,1.6,9.4,1362,15.0,.570,.489,.173,4.6,15.7,10.5,13.3,2.7,1.2,12.9,16.9,,1.4,3.1,4.5,.158,,-0.6,2.7,2.1,1.4,,,NO
Luka Dončić,PG,20,DAL,54,54,33.3,9.5,20.6,.461,2.9,9.1,.318,6.6,11.5,.574,.531,6.8,9.1,.752,1.3,8.0,9.3,8.7,1.1,0.2,4.2,2.5,28.7,1799,27.7,.584,.442,.442,4.1,24.7,14.6,45.3,1.6,0.5,14.6,37.0,,5.8,2.3,8.1,.215,,7.3,1.1,8.4,4.7,Luka Dončić,2020.0,YES
Luguentz Dort,SG,20,OKC,29,21,22.0,2.2,5.4,.414,0.8,2.5,.301,1.5,2.9,.512,.484,1.0,1.2,.778,0.5,1.3,1.9,0.7,0.8,0.1,0.5,2.7,6.2,637,7.3,.521,.465,.229,2.7,6.6,4.7,4.5,1.8,0.3,8.0,13.0,,0.2,0.5,0.7,.052,,-4.3,0.4,-3.9,-0.3,,,NO
Damyean Dotson,SG,25,NYK,48,0,17.4,2.5,6.0,.414,1.2,3.4,.362,1.3,2.6,.480,.516,0.5,0.7,.667,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7,836,10.9,.527,.562,.114,1.2,10.6,5.8,10.0,1.3,0.5,6.5,16.5,,0.6,0.3,0.9,.053,,-0.9,-0.5,-1.4,0.1,,,NO
Sekou Doumbouya,SF,19,DET,38,19,19.8,2.4,6.2,.390,0.7,2.6,.286,1.7,3.6,.464,.449,0.8,1.2,.674,0.5,2.6,3.1,0.5,0.5,0.2,0.9,2.1,6.4,754,6.2,.474,.415,.195,3.0,14.9,8.9,3.6,1.3,0.9,12.0,16.9,,-0.8,0.5,-0.3,-0.020,,-5.2,-1.5,-6.7,-0.9,,,NO
PJ Dozier,PG,23,DEN,21,0,11.1,1.7,4.3,.396,0.3,1.3,.250,1.4,3.0,.460,.434,0.3,0.5,.636,0.2,1.2,1.4,1.4,0.3,0.2,0.5,1.3,4.1,234,9.3,.449,.308,.121,2.4,11.9,7.1,17.5,1.5,2.0,10.3,19.8,,-0.1,0.2,0.1,.019,,-4.4,-0.8,-5.2,-0.2,,,NO
Goran Dragić,PG,33,MIA,54,1,28.4,5.4,12.3,.437,2.2,5.8,.377,3.2,6.5,.491,.526,3.1,4.1,.769,0.5,2.6,3.1,5.1,0.6,0.1,2.5,1.9,16.1,1531,15.9,.571,.472,.333,2.0,9.9,6.1,28.6,1.0,0.5,14.9,25.7,,2.0,1.1,3.0,.095,,1.4,-1.9,-0.5,0.6,,,NO
Andre Drummond,C,26,TOT,57,56,33.0,7.3,13.8,.533,0.1,0.6,.143,7.2,13.1,.551,.536,3.0,5.2,.575,4.4,10.8,15.2,2.7,1.9,1.6,3.6,3.5,17.7,1879,22.0,.553,.045,.375,14.9,37.5,26.0,13.6,2.8,4.2,18.2,25.9,,0.7,3.6,4.3,.109,,-0.1,1.1,1.0,1.4,,,NO
Andre Drummond,C,26,DET,49,48,33.8,7.3,13.9,.530,0.0,0.4,.048,7.3,13.4,.546,.531,3.0,5.2,.584,4.6,11.2,15.8,2.8,2.0,1.7,3.6,3.6,17.8,1654,22.1,.550,.031,.376,15.3,38.2,26.6,14.0,2.9,4.2,18.0,25.5,,0.7,3.3,4.0,.116,,0.0,1.2,1.1,1.3,,,NO
Andre Drummond,C,26,CLE,8,8,28.1,7.3,13.1,.552,0.5,1.8,.286,6.8,11.4,.593,.571,2.5,4.9,.513,3.0,8.1,11.1,1.8,1.5,1.4,3.6,3.1,17.5,225,21.1,.573,.133,.371,11.7,32.4,22.0,10.8,2.6,4.2,19.2,28.7,,-0.1,0.3,0.3,.054,,-0.8,0.4,-0.5,0.1,,,NO
Jared Dudley,SF,34,LAL,40,1,7.8,0.5,1.3,.400,0.4,0.9,.471,0.1,0.4,.250,.560,0.1,0.1,1.000,0.1,1.0,1.1,0.5,0.3,0.1,0.2,0.9,1.5,311,7.4,.570,.680,.040,1.8,13.0,7.5,7.4,1.8,0.8,10.5,7.7,,0.2,0.4,0.7,.103,,-2.7,2.0,-0.7,0.1,,,NO
Kris Dunn,PG,25,CHI,51,32,24.9,3.0,6.7,.444,0.6,2.2,.259,2.4,4.5,.535,.487,0.8,1.1,.741,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,7.3,1269,12.1,.510,.327,.158,1.9,14.9,8.1,19.4,3.8,1.3,15.7,14.6,,0.3,2.0,2.3,.085,,-3.7,3.1,-0.6,0.4,,,NO
Carsen Edwards,SG,21,BOS,35,0,9.0,1.1,3.2,.327,0.6,1.9,.309,0.5,1.3,.356,.420,0.3,0.4,.846,0.2,1.1,1.2,0.6,0.3,0.1,0.4,0.9,3.0,316,6.5,.446,.602,.115,2.1,12.4,7.3,9.5,1.5,0.9,11.2,18.1,,-0.3,0.4,0.1,.012,,-4.6,-0.3,-4.9,-0.2,,,NO
Henry Ellenson,PF,23,BRK,5,0,3.0,0.2,1.4,.143,0.0,0.8,.000,0.2,0.6,.333,.143,0.0,0.0,,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.2,0.4,15,-1.2,.143,.571,.000,14.1,26.8,20.6,8.8,0.0,0.0,0.0,19.5,,-0.1,0.0,-0.1,-0.180,,-7.9,-3.1,-11.0,0.0,,,NO
Wayne Ellington,SG,32,NYK,36,1,15.5,1.7,4.8,.351,1.4,4.0,.350,0.3,0.9,.355,.494,0.3,0.4,.846,0.1,1.7,1.8,1.2,0.4,0.1,0.5,1.1,5.1,558,8.5,.509,.822,.075,0.7,12.0,6.2,11.0,1.1,0.7,9.1,15.0,,0.2,0.2,0.4,.035,,-1.9,-1.0,-2.8,-0.1,,,NO
Joel Embiid,C,25,PHI,44,44,30.2,7.5,15.9,.474,1.3,3.7,.348,6.3,12.3,.511,.514,7.1,8.7,.814,2.8,9.0,11.8,3.1,0.9,1.3,3.1,3.4,23.4,1329,26.0,.593,.230,.545,10.1,33.1,21.6,17.3,1.4,3.7,13.4,32.6,,3.2,2.4,5.6,.203,,4.1,1.2,5.2,2.4,Joel Embiid,2020.0,YES
James Ennis,SF,29,TOT,61,10,17.3,2.1,4.8,.435,0.8,2.3,.338,1.3,2.5,.523,.515,1.0,1.3,.808,1.0,2.3,3.3,0.9,0.5,0.3,0.7,1.8,6.0,1053,11.5,.557,.473,.265,6.3,14.5,10.4,7.2,1.3,1.6,11.6,15.2,,0.9,1.2,2.1,.096,,-2.1,-0.3,-2.5,-0.1,,,NO
James Ennis,SF,29,PHI,49,0,15.8,2.0,4.6,.442,0.8,2.2,.349,1.3,2.4,.525,.524,1.0,1.2,.787,1.0,2.1,3.1,0.8,0.5,0.3,0.6,1.7,5.8,776,12.3,.564,.469,.270,6.8,14.5,10.7,7.4,1.4,1.5,10.9,15.8,,0.8,0.9,1.8,.109,,-1.6,0.0,-1.6,0.1,,,NO
James Ennis,SF,29,ORL,12,10,23.1,2.3,5.7,.412,0.8,2.8,.303,1.5,2.9,.514,.485,1.3,1.4,.882,1.1,3.0,4.1,1.1,0.5,0.5,1.0,2.0,6.8,277,9.4,.537,.485,.250,4.9,14.4,9.5,6.6,1.1,2.0,13.7,13.7,,0.1,0.3,0.3,.060,,-3.7,-1.3,-5.0,-0.2,,,NO
Drew Eubanks,PF,22,SAS,14,3,9.3,1.5,2.0,.750,0.1,0.1,1.000,1.4,1.9,.741,.768,0.6,0.8,.727,0.6,1.9,2.5,0.4,0.1,0.4,0.7,1.5,3.6,130,15.3,.776,.036,.393,6.6,22.4,14.5,5.5,0.7,4.1,23.3,14.3,,0.2,0.1,0.3,.120,,-2.6,-1.0,-3.7,-0.1,,,NO
Jacob Evans,SG,22,TOT,29,1,14.4,1.6,4.6,.336,0.4,1.3,.333,1.1,3.3,.337,.384,0.9,1.0,.862,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4,418,5.5,.436,.291,.216,2.3,8.6,5.3,10.8,1.3,2.6,14.6,17.5,,-0.7,0.2,-0.5,-0.056,,-5.7,-1.3,-7.0,-0.5,,,NO
Jacob Evans,SG,22,GSW,27,1,15.3,1.7,4.9,.338,0.5,1.4,.342,1.2,3.5,.337,.387,0.9,1.1,.862,0.3,1.2,1.5,1.1,0.4,0.4,0.9,1.5,4.7,414,5.7,.439,.286,.218,2.3,8.7,5.4,10.9,1.3,2.6,14.6,17.6,,-0.6,0.2,-0.5,-0.054,,-5.7,-1.3,-7.0,-0.5,,,NO
Jacob Evans,SG,22,MIN,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-9.6,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,,0.0,0.0,0.0,-0.264,,-10.4,-5.6,-16.0,0.0,,,NO
Dante Exum,SG,24,TOT,35,1,13.9,1.6,3.4,.471,0.4,1.2,.349,1.2,2.2,.539,.534,0.9,1.2,.744,0.3,1.6,1.9,1.1,0.4,0.2,0.9,1.1,4.5,485,10.4,.576,.361,.361,2.8,12.6,7.7,11.5,1.3,1.4,18.4,15.0,,0.2,0.2,0.4,.043,,-2.5,-0.4,-2.9,-0.1,,,NO
Dante Exum,SG,24,UTA,11,0,7.5,0.9,2.1,.435,0.2,0.5,.333,0.7,1.5,.471,.478,0.2,0.2,1.000,0.3,0.8,1.1,0.6,0.1,0.2,0.9,0.7,2.2,83,4.8,.503,.261,.087,4.2,11.4,7.9,11.8,0.6,2.0,29.5,17.9,,-0.2,0.1,-0.1,-0.054,,-5.1,-0.5,-5.6,-0.1,,,NO
Dante Exum,SG,24,CLE,24,1,16.8,1.9,4.0,.479,0.5,1.5,.351,1.4,2.5,.559,.547,1.3,1.7,.732,0.4,1.9,2.3,1.4,0.5,0.3,0.9,1.3,5.6,402,11.5,.592,.385,.427,2.5,12.8,7.6,11.4,1.5,1.3,15.6,14.4,,0.4,0.2,0.5,.063,,-1.9,-0.4,-2.3,0.0,,,NO
Tacko Fall,C,24,BOS,6,0,4.0,1.5,2.0,.750,0.0,0.0,,1.5,2.0,.750,.750,0.2,0.5,.333,0.0,1.8,1.8,0.0,0.0,0.3,0.5,0.8,3.2,24,23.9,.713,.000,.250,0.0,48.7,24.6,0.0,0.0,7.7,18.4,29.0,,0.0,0.1,0.1,.102,,-2.0,3.1,1.0,0.0,,,NO
Derrick Favors,C,28,NOP,45,43,24.2,4.2,6.8,.620,0.0,0.2,.143,4.2,6.6,.631,.621,0.8,1.4,.581,3.3,6.6,9.9,1.7,0.6,1.0,1.1,2.2,9.2,1089,19.0,.624,.023,.203,14.1,29.0,21.5,9.8,1.1,3.4,13.3,14.4,,2.4,1.4,3.8,.168,,0.8,0.4,1.2,0.9,,,NO
Cristiano Felício,PF,27,CHI,22,0,17.5,1.5,2.5,.630,0.0,0.1,.000,1.5,2.4,.654,.630,0.8,1.0,.783,2.5,2.1,4.6,0.7,0.5,0.1,0.8,1.5,3.9,386,12.8,.671,.037,.426,15.0,14.1,14.6,5.7,1.2,0.5,21.9,9.1,,0.7,0.3,1.0,.126,,-1.4,-1.6,-3.0,-0.1,,,NO
Terrance Ferguson,SF,21,OKC,50,37,23.4,1.5,4.0,.372,0.9,3.1,.297,0.6,0.9,.636,.487,0.3,0.4,.789,0.5,1.0,1.5,0.9,0.5,0.3,0.6,2.9,4.2,1170,4.1,.504,.779,.095,2.3,4.6,3.5,5.0,1.1,1.2,12.6,9.0,,-0.1,0.8,0.7,.027,,-4.5,0.3,-4.1,-0.6,,,NO
Bruno Fernando,C,21,ATL,56,13,12.7,1.8,3.6,.518,0.1,0.7,.135,1.8,2.9,.605,.530,0.5,0.9,.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3,713,11.9,.542,.186,.256,10.0,20.0,15.0,9.9,1.2,2.0,15.9,15.3,,0.4,0.4,0.8,.055,,-3.2,-1.0,-4.1,-0.4,,,NO
Yogi Ferrell,PG,26,SAC,44,0,11.0,1.5,3.8,.396,0.4,1.6,.275,1.1,2.3,.480,.453,0.7,0.8,.865,0.1,1.0,1.1,1.3,0.3,0.1,0.6,0.7,4.2,484,10.7,.499,.408,.219,1.4,10.0,5.6,17.6,1.4,0.8,11.9,18.9,,0.1,0.3,0.4,.036,,-2.1,-0.4,-2.5,-0.1,,,NO
Dorian Finney-Smith,PF,26,DAL,64,61,29.7,3.3,7.1,.468,1.5,4.1,.374,1.8,3.0,.599,.577,1.1,1.5,.722,2.0,3.5,5.5,1.5,0.7,0.6,1.0,2.4,9.3,1898,12.2,.597,.580,.212,7.0,12.3,9.7,6.8,1.1,1.7,11.2,12.7,,2.9,1.6,4.5,.114,,0.0,-0.1,-0.2,0.9,,,NO
Bryn Forbes,SG,26,SAS,63,62,25.1,3.8,9.2,.417,2.3,6.0,.388,1.5,3.2,.470,.544,1.2,1.4,.833,0.2,1.8,2.0,1.7,0.5,0.0,0.9,1.8,11.2,1579,11.2,.570,.656,.155,0.8,7.8,4.3,9.6,1.0,0.0,8.4,18.6,,1.2,0.2,1.5,.045,,-0.6,-2.1,-2.7,-0.3,,,NO
Evan Fournier,SG,27,ORL,61,61,31.7,6.7,14.2,.470,2.7,6.7,.406,4.0,7.6,.525,.564,2.8,3.4,.820,0.3,2.3,2.6,3.2,1.1,0.2,2.0,2.4,18.8,1931,16.7,.599,.467,.236,0.9,8.1,4.4,16.5,1.8,0.7,11.1,24.2,,2.7,1.7,4.4,.110,,1.5,-0.3,1.2,1.6,,,NO
