Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Players,Season,ALL_STAR
Mo Bamba,C,21,ORL,60,0,14.5,2.2,4.7,.468,0.6,1.7,.356,1.6,3.0,.534,.534,0.5,0.8,.674,1.6,3.4,5.0,0.7,0.4,1.4,0.7,1.9,5.5,868,17.8,.549,.369,.163,11.7,25.7,18.5,7.3,1.2,8.9,12.2,17.2,,0.9,1.7,2.5,.140,,-1.1,1.7,0.5,0.6,,,NO
J.J. Barea,PG,35,DAL,26,4,15.0,2.8,6.9,.413,1.1,2.9,.382,1.7,4.0,.437,.494,0.7,0.7,.944,0.4,1.5,1.8,3.8,0.2,0.1,1.3,1.0,7.5,391,14.9,.519,.425,.101,2.7,10.0,6.4,37.7,0.5,0.4,15.8,24.3,,0.5,0.2,0.7,.084,,1.8,-2.7,-1.0,0.1,,,NO
Harrison Barnes,PF,27,SAC,64,64,34.9,5.1,11.1,.459,1.5,3.8,.383,3.6,7.3,.498,.524,3.1,3.8,.803,1.0,3.8,4.8,2.4,0.6,0.2,1.3,1.3,14.7,2231,13.3,.575,.342,.343,3.0,12.7,7.7,9.9,0.8,0.4,8.9,17.6,,3.1,1.1,4.2,.091,,0.0,-1.2,-1.2,0.5,,,NO
RJ Barrett,SG,19,NYK,56,55,30.4,5.2,13.0,.402,1.1,3.5,.320,4.1,9.5,.432,.445,2.8,4.5,.614,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2,14.3,1704,10.7,.479,.271,.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,,-1.6,1.1,-0.5,-0.015,,-2.8,-1.5,-4.3,-1.0,,,NO
Will Barton,SF,29,DEN,58,58,33.0,5.7,12.7,.450,1.9,5.0,.375,3.9,7.8,.498,.523,1.8,2.3,.767,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1,15.1,1916,15.7,.549,.390,.180,4.4,16.8,10.6,16.0,1.6,1.4,9.9,20.0,,2.4,2.1,4.5,.113,,1.2,-0.1,1.2,1.5,,,NO
Keita Bates-Diop,SF,24,TOT,39,0,17.1,2.3,5.3,.428,0.8,2.4,.330,1.5,2.9,.509,.502,1.3,1.8,.710,0.5,2.3,2.9,0.8,0.4,0.5,0.4,1.0,6.6,665,12.6,.541,.452,.332,3.2,15.0,8.9,6.5,1.2,2.6,5.5,15.6,,0.6,0.5,1.1,.081,,-0.8,-0.1,-0.8,0.2,,,NO
Keita Bates-Diop,SF,24,MIN,37,0,17.5,2.4,5.6,.422,0.8,2.5,.330,1.5,3.0,.500,.498,1.2,1.8,.708,0.6,2.4,3.0,0.8,0.5,0.5,0.4,1.0,6.8,646,12.5,.535,.456,.316,3.3,15.1,9.0,6.7,1.2,2.6,5.6,15.8,,0.6,0.5,1.0,.076,,-0.8,-0.1,-0.9,0.2,,,NO
Keita Bates-Diop,SF,24,DEN,2,0,9.5,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,1.5,2.0,.750,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,3.5,19,15.8,.931,.000,2.000,0.0,11.7,5.9,0.0,0.0,4.8,0.0,8.6,,0.1,0.0,0.1,.218,,0.0,0.1,0.0,0.0,,,NO
Nicolas Batum,SF,31,CHO,22,3,23.0,1.3,3.7,.346,0.6,2.2,.286,0.6,1.5,.438,.432,0.4,0.5,.900,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6,505,9.2,.463,.605,.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,,0.2,0.4,0.6,.055,,-2.7,0.9,-1.9,0.0,,,NO
Aron Baynes,C,33,PHO,42,28,22.2,4.4,9.1,.480,1.4,4.0,.351,3.0,5.1,.582,.558,1.3,1.8,.747,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4,11.5,934,15.1,.581,.441,.197,8.3,20.2,14.1,11.0,0.5,2.2,10.8,21.1,,1.3,0.7,2.0,.103,,-0.2,-0.9,-1.1,0.2,,,NO
Kent Bazemore,SF-SG,30,TOT,64,21,25.1,2.9,7.7,.374,1.2,3.6,.342,1.7,4.2,.401,.453,1.7,2.2,.768,0.4,4.0,4.3,1.3,1.1,0.6,1.3,2.8,8.7,1604,9.2,.500,.461,.287,1.6,16.9,9.2,7.1,2.1,2.1,13.2,17.2,,-0.8,1.5,0.7,.020,,-3.4,0.4,-3.0,-0.4,,,NO
Kent Bazemore,SF,30,POR,43,21,25.8,2.6,7.6,.347,1.3,4.0,.327,1.3,3.6,.368,.433,1.3,1.7,.806,0.3,3.7,4.0,1.4,1.0,0.7,1.4,2.8,7.9,1111,7.6,.475,.525,.221,1.2,14.6,8.0,7.2,1.9,2.4,14.4,16.0,,-1.0,0.9,-0.1,-0.005,,-3.6,0.4,-3.2,-0.3,,,NO
Kent Bazemore,SG,30,SAC,21,0,23.5,3.4,8.0,.426,1.0,2.7,.386,2.4,5.3,.446,.491,2.4,3.3,.729,0.5,4.5,5.0,1.1,1.2,0.4,1.2,2.9,10.3,493,13.0,.543,.337,.414,2.5,22.1,12.0,7.1,2.5,1.6,11.1,19.9,,0.2,0.6,0.8,.077,,-3.0,0.4,-2.6,-0.1,,,NO
Darius Bazley,PF,19,OKC,53,8,17.2,1.7,4.3,.383,0.6,1.9,.300,1.1,2.5,.446,.448,0.6,0.9,.681,0.4,3.3,3.7,0.5,0.4,0.7,0.8,0.8,4.5,909,8.1,.475,.435,.204,2.7,20.7,12.0,4.3,1.1,3.3,13.8,14.1,,-0.8,1.2,0.4,.019,,-3.1,0.6,-2.5,-0.1,,,NO
